"case","rho","n","p","alpha","sparsity","precision.theory","loglambda","precision.mean","precision.sd","CI.low","CI.upp"
"ind",0.8,300,1000,0.3,0.01,0.910153546637372,-0.5,0.911064,0.0135322632363028,0.909877844828957,0.912250155171043
"ind",0.8,300,1000,0.3,0.05,0.84160347993132,-1,0.840936,0.0207441689419022,0.839117693421879,0.842754306578121
"ind",0.8,300,1000,0.3,0.1,0.782864956968454,-1.5,0.783672,0.0236420453560438,0.781599683354705,0.785744316645295
"ind",0.8,400,1000,0.4,0.01,0.91361836963685,-0.5,0.914988,0.0125998956639126,0.913883570450015,0.916092429549985
"ind",0.8,400,1000,0.4,0.05,0.863855438983492,-1,0.864076,0.0189589320957807,0.862414176330879,0.865737823669121
"ind",0.8,400,1000,0.4,0.1,0.814597968000888,-1,0.815932,0.0208432304720987,0.814105010295913,0.817758989704087
"ind",0.8,500,1000,0.5,0.01,0.91513349301162,0,0.916268,0.012650384993389,0.915159144865159,0.917376855134841
"ind",0.8,500,1000,0.5,0.05,0.877968881517711,-0.5,0.880216,0.0156878794974417,0.878840896732819,0.881591103267181
"ind",0.8,500,1000,0.5,0.1,0.836096348337298,-1,0.836532,0.0189972304700201,0.834866819330364,0.838197180669636
"ind",0.8,600,1000,0.6,0.01,0.916646340002443,0,0.91888,0.0123448122212351,0.917797929499591,0.919962070500409
"ind",0.8,600,1000,0.6,0.05,0.887735750896827,-0.5,0.887344,0.016192778518596,0.885924640382323,0.888763359617677
"ind",0.8,600,1000,0.6,0.1,0.850603058828625,-1,0.85214,0.0174563985891537,0.850609879199603,0.853670120800397
"ind",0.8,700,1000,0.7,0.01,0.917544763503187,0,0.917408,0.0120852655447273,0.916348679768861,0.918467320231139
"ind",0.8,700,1000,0.7,0.05,0.893915349377552,-0.5,0.893644,0.0142711104398492,0.89239308201613,0.89489491798387
"ind",0.8,700,1000,0.7,0.1,0.861460998926917,-0.5,0.862112,0.0163406698449593,0.860679677136009,0.863544322863991
"ind",0.8,800,1000,0.8,0.01,0.918134160527284,0,0.919056,0.012672728992614,0.917945186327274,0.920166813672726
"ind",0.8,800,1000,0.8,0.05,0.898028523041982,-0.5,0.898832,0.014145386524229,0.897592102203222,0.900071897796779
"ind",0.8,800,1000,0.8,0.1,0.870734729784614,-0.5,0.871112,0.0154139753884113,0.869760905486538,0.872463094513462
"ind",0.8,900,1000,0.9,0.01,0.918514666648079,0,0.919196,0.0124215205327162,0.918107205719634,0.920284794280366
"ind",0.8,900,1000,0.9,0.05,0.900886624360013,-0.5,0.899584,0.0132527058529513,0.898422349114018,0.900745650885982
"ind",0.8,900,1000,0.9,0.1,0.877632997685704,-0.5,0.876984,0.0158664183249063,0.87559324711459,0.87837475288541
"ind",0.8,1000,1000,1,0.01,0.918792856183242,0,0.919072,0.0113230401605291,0.918079491769573,0.920064508230427
"ind",0.8,1000,1000,1,0.05,0.903541599214048,0,0.904352,0.013622600577459,0.903157926411876,0.905546073588124
"ind",0.8,1000,1000,1,0.1,0.882882570430713,-0.5,0.882388,0.0160914675108676,0.880977520683689,0.883798479316312
"ind",0.8,1100,1000,1.1,0.01,0.918991503763248,0,0.918904,0.0121875286958195,0.91783571600845,0.91997228399155
"ind",0.8,1100,1000,1.1,0.05,0.906020965406076,0,0.90562,0.0135175829977182,0.904435131608604,0.906804868391396
"ind",0.8,1100,1000,1.1,0.1,0.88695714352599,-0.5,0.886772,0.0144689570265057,0.885503739998188,0.888040260001812
"ind",0.8,1200,1000,1.2,0.01,0.919204205333188,0.5,0.920388,0.0121197042233267,0.919325661085586,0.921450338914414
"ind",0.8,1200,1000,1.2,0.05,0.907882506691784,0,0.908136,0.0128308520968431,0.907011326226087,0.909260673773913
"ind",0.8,1200,1000,1.2,0.1,0.890178821014174,-0.5,0.891768,0.0141095831502333,0.890531240507322,0.893004759492678
"ind",0.8,1300,1000,1.3,0.01,0.919418511439067,0.5,0.9188,0.0115867383249135,0.917784377606345,0.919815622393655
"ind",0.8,1300,1000,1.3,0.05,0.909311836664674,0,0.9099,0.0127361854902354,0.908783624120016,0.911016375879984
"ind",0.8,1300,1000,1.3,0.1,0.892769557206537,-0.5,0.893244,0.0139485335133966,0.892021357130402,0.894466642869598
"ind",0.8,1400,1000,1.4,0.01,0.919592390354043,0.5,0.919564,0.011643067725136,0.918543440116719,0.920584559883282
"ind",0.8,1400,1000,1.4,0.05,0.910434934954097,0,0.90974,0.0124686540841158,0.908647074281695,0.910832925718305
"ind",0.8,1400,1000,1.4,0.1,0.895197200381092,0,0.894188,0.0140866434272361,0.892953251262698,0.895422748737302
"ind",0.8,1500,1000,1.5,0.01,0.91973630113104,0.5,0.920156,0.0123936624828772,0.919069647585365,0.921242352414635
"ind",0.8,1500,1000,1.5,0.05,0.911333134974789,0,0.911884,0.0125279064843957,0.910785880579817,0.912982119420183
"ind",0.8,1500,1000,1.5,0.1,0.897757200439571,0,0.898628,0.0142976382987486,0.897374756746775,0.899881243253225
